"2021 Inventory Report (Newly Acquired Materials)"
"Date Created:","Jun 06, 2021"
"Time Created:","2:32:27 PM"
Filters:,none
Search:,none
"Number of Newly Acquired Materials:",4445

"Accession Number",Barcode,"Call Number",Title,Author,Volume,Year,Edition,Publisher,"Publication Year","Circulation Type",Type,Status,Source,Location,"Last Year Inventoried"
BC-58651,UBULB0068243,Thesis,"Connexin 32 expression changes in Mus musculus brain after administration of 2-oxo-1-pyrrolidineacetamide","Van Oosterhout, Maria Elka Eleanor P.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58667,UBULB0068256,Thesis,"Antibacterial and antifungal property of the crude extract of Nepenthes alata","Bartilit, Krissa Mae T.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58666,UBULB0068257,Thesis,"Incidence of Perkinsus sp. in the economically important bivalves Crassostrea virginica (Gmelin 1791) and Saxidomus giganteus (Deyshayes 1839) collected in Dagupan City","Calleja, April P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58665,UBULB0068258,Thesis,"Toxicity level of Coriaria intermedia matsum in Mus musculus and Tilapia sp. fingerlings","Bandao, Volkmann",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58664,UBULB0068259,Thesis,"Morpho-anatomical comparison of Pila and Pomacea","Aznar, Marichu Javier",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58643,UBULB0068222,Thesis,"Fungitoxicity of Capsicum frutescens and Mamordica charantia leaf crude extracts on Musa paradisiaca fungi","Mallillin, Rubieanne B.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58652,UBULB0068242,Thesis,"Preliminary phytochemical, antinociceptive, and anti-inflammatory studies of the methanolic extract of Mollugo oppositifolia L. (Papait) in albino mice","Ordonez, June Feliciano Fronda",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58655,UBULB0068254,Thesis,"Response of selected new rice (Oryza sativa L.) varieties to tissue culture using mature seeds and various culture media","Montero, Karen Borja",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58653,UBULB0068241,Thesis,"Comparative behavioral analysis of mice injected with crude venom of Conus lividus and Conus ebraeus","Barcena, Robert Julius V.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58658,UBULB0068251,Thesis,"Microbial degradation of biodegradable plastics by two test organisms (Cellulomonas flavigena and Arthrobacter luteus) and by soil microflora","Fabian, Anne Ville Barrion",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58657,UBULB0068252,Thesis,"Therapeutic activity of Apis mellifera venom against carrageenan-induced inflammation in Mus musculus","Costales, Russhell Bautista",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58656,UBULB0068253,Thesis,"A survey on marine macrobenthic algae in Paraoir La Union; Bolinao, Pangasinan ; Sta. Maria Ilocos Sur ; and Pagudpud, Ilocos Norte","Jimenez, Katherine A.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58648,UBULB0068246,Thesis,"Assessment of Tithonia diversifolia as a potential species for phytoremediation of mercury in Kias mining dumpsites","Ganancial, Joy D.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58647,UBULB0068218,Thesis,"Chloroplast and starch analysis of Hydrilla verticillata exposed to mine taillings of Lepanto Consolidated Mining Company and Itogon-Suyoc Resources Incorporated","Alonzo, Karen Ashley",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58668,UBULB0068255,Thesis,"Microbially influenced corrosion of stainless steel metal and effectiveness of sodium hypochlorite biocide in preventing biofilm formation","Cabanela, Caryl Anne S.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58663,UBULB0068260,Thesis,"Biology and taxonomy of the invasive earthworms in the Banaue Rice Terraces","Dangis, Charity Bless",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58662,UBULB0068247,Thesis,"Anatomical study of vermivorous Conus and the effect of their crude venom extract to mice","Iglesia, Lerma Bhelle B.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58629,UBULB0068224,Thesis,"Feasibility of water hyacinth (Eichornia crassipes) as a bio-fuel source","Alipio, Adrian Vincent Castro",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58630,UBULB0068223,Thesis,"Antifungal evaluation of the aqueous leaf extracts of Alstonia scholaris (Dita tree) on seed-borne mycoflora of Zea mays","Aguinaldo, Jenny Sales",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-54118,UBULB0060644,Thesis,"The study of spatial distribution of mangrove oysters (Crassostrea sp.) in mangrove swamp forest of Poblacion, Cabarruyan Island, Pangasinan","Aborot, Zafia A.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-54115,UBULB0060659,Thesis,"A comparative analysis using the macroscopic aspect of two types of farm systems namely organic system located in Ambiong and Shilan and inorganic system located in Strawberry Farm, La Trinidad, Benguet","Torres, Joderick Hall",0,0,,,2007,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58927,UBULB0068663,Thesis,"Flirts in skirts : a perception study on women who flirt and the implications of flirting on their lives","Panes, Johanna Shalom",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58926,UBULB0068662,Thesis,"Garage sale : the commercialization of a new masculinity through garage's covers and editorial spreads","Sepe, Carla Jane M.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58925,UBULB0068661,Thesis,"Binunga : Itawes oral practice","Mateo, Roovelyn S.",0,0,,,2009,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58924,UBULB0068659,Thesis,"Imperial Manila as portrayed in certain television commercials : a semiotic analysis","Mejia, Joanaliza E.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58923,UBULB0068658,Thesis,"Faces and phases : the portrayal of criminal roles, as played by Robin Padilla in his popular action films of 1985-2004","Rosario, Charity Grace G.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58922,UBULB0068657,Thesis,"Man in the mirror : a study on the influence of grooming product commercials on the perception of beauty of males and their impact on their buying behavior","Alvez, Ma. Charissa Diana",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58921,UBULB0068656,Thesis,"&quot;What's on your mind?&quot; : a study about information disclosure of UP Baguio students through Facebook status updates","De Guzman, Leah Minette T.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58919,UBULB0068654,Thesis,"Keeping it real in social networking sites : a study on the impression management of 4th year UPB students in Facebook.com","Mascariña, Kristine B.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58918,UBULB0067130,Thesis,"When I grow-up : interpretations of children on pop culture elements in selected T.V. commercials",,0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58917,UBULB0068653,Thesis,"The speech community of street children at the Baguio City market","Cinco, Lourdes Theressa M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58916,UBULB0068652,Thesis,"The press and the president : a descriptive analysis of the working relationship of the Philippine Press with President Ferdinand Marcos and President Gloria Macapagal Arroyo","Castillejos, Roxanne T.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58915,UBULB0068651,Thesis,"What I let you see is what you get : impression management in and through FilipinoFriendFinder.com and its implications on the Philippine society and among its Filipina members in their pursuit of foreign romantic partners","Ramirez, Angela",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58885,UBULB0068598,Thesis,"Panimulang pag-aaral sa First Language Component (FLC) Bridging Program sa wikang Pangasinan","Rolusta, Stephanie Joy A.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58886,UBULB0068592,Thesis,"Presenting Philippine literary pieces through visually enticing instructional materials using icons and symbolic images","Prima, Lea Abigail B.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58887,UBULB0068591,Thesis,"Rewriting Philippine Spanish colonial history through Zorro","Flores, Angelica A.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58888,UBULB0068590,Thesis,"The meaning of silence as metacommunication within the classroom","Calma, Nevicshky P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58889,UBULB0068589,Thesis,"Uso o nasyonalismo? : (a case study of Baguio High School students' perceptions on nationalism and 3 stars and a sun fashion design","Buhain, Divine Grace H.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58890,UBULB0068596,Thesis,"Communication, culture and identity : a study on the perspectives of UP Baguio's IP students on ethnic identity negotiation","Faustino, Shannah F.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58891,UBULB0068597,Thesis,"Maria Clara, Cosmode : a study on Cosmopolitan Magazine and its contribution on the sexual identity formation of working women","Figueroa, Eirene",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58892,UBULB0068635,Thesis,"Ibalong : isang pagsusuri sa konsepto ng othering sa usapin ng pisikal na anyo","Mendez, Dave Lorenz",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58893,UBULB0068634,Thesis,"Animation as a tool for information dissemination on the substantial effects of improper handling and disposal of toxic waste in Baguio City","Henry, Agatha Andrea A.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58894,UBULB0068633,Thesis,"Inside pages : a content analysis of stories on ancestral domain/land of Cordillera indigenous peoples by the Baguio press","Anga-angan, Melanie.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58895,UBULB0068632,Thesis,"Gender performativity in Philippine ragnarok online","Vergara, Ruperth Laurence A.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58896,UBULB0068631,Thesis,"The knowledge, perception and attitude of Baguio-based journalists on Journalism ethics","Carabeo, Precious Joy M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58897,UBULB0068595,Thesis,"Silk industry : an alternative livelihood of Kapangan villagers through promotion of potential creative outputs","Agustin, Ermilyn Q.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58898,UBULB0068594,Thesis,"Language, imagination and country : the habit of shores in the poetry of Gemino H. Abad","Leyva, Ma. Liezl",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58899,UBULB0068593,Thesis,"Pagbagtas sa laylayan ng lipunan sa pagitan ng pagkalam ng sikmura at paghawak ng armas : isang istruktural na analisis sa mga nobelang Mondomanila, Responde, at Gerilya ni Norman Wilwayco at ang implikasyong postkolonyal ng mga ito","Abiad, Shirley Ann N.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58900,UBULB0068636,Thesis,"Red letters : the development of literary theory and practice by the Communist Party of the Philippines","Riva, Ma. Paula Luz Pamintuan",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58901,UBULB0068637,Thesis,"Technoromance : how new media affect long-term, long distance romantic relationships","Borason, Swenchell M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58903,UBULB0068638,Thesis,"Anatomy of the Wicked Witch : the female villain as cultural text","Dizon, Gerald Allandrey M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58902,UBULB0068639,Thesis,"Mula baybayin...sa pa-abakada...tungo sa alfabeto : repleksyon ng kultural na identidad ang ispeling sa wikang Filipino","Cruz, Anna Loren Ritualo",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58904,UBULB0068640,Thesis,"Independent films and the Philippine society : a content analysis of four Indie films","Oller, Mikhail Paolo C.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58905,UBULB0068641,Thesis,"Goin' Bulilit : for &quot;Adults actually&quot; (a study on children delivering adult jokes)","Casuga, Eden Clarice E.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58906,UBULB0068642,Thesis,"The touching behavior of UPB students in heterosexual friendship and its implications on their intimacy","Delos Reyes, Marycon C.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58907,UBULB0068643,Thesis,"Perception of call center agents on verbal abuse","Molina, Esther Melody L.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58908,UBULB0068644,Thesis,"Teachers' and students' speech acts in UP Baguio : a discourse analysis","Salinas, Rejessah D.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58909,UBULB0068645,Thesis,"Finding Mommy in Daddy : communicative styles and coping mechanisms of single working fathers as influenced by their working environment","Antonio, Andrea Blanca",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58910,UBULB0068646,Thesis,"A content analysis of the editorials of four newspapers on House Resolution 1109 (Charter Change)","Fronda, Lucila Ann B.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58911,UBULB0068647,Thesis,"Politicians online : an analysis of the blogs and websites of 2010 presidentiables","Ceba, Irene Mei M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58912,UBULB0068648,Thesis,"An analysis of the coverage of PGMA in the front page news reports of the Philippine Daily Inquirer and the Manila Bulletin in December 2008","Malone, Hermie",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58913,UBULB0068649,Thesis,"Avatar and me : self-presentation in online role-playing games","Anorico, Richard Benedict R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58914,UBULB0068650,Thesis,"Learning through language : assessment of the medium of instruction (English and Filipino) used in elementary school subjects as required by restructured basic education curriculum","Toca, Janine Kaye Clemente.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58879,UBULB0068605,Thesis,"Sarsarita : a study of selected Ilocano proverbs within a socio-cultural context","Banasan, Russel Macaraeg",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58880,UBULB0068604,Thesis,"The image of homosexuality : analyzing and deconstructing its stereotype in print and film","Yambot, Kym Arlaw Tonel.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58881,UBULB0068602,Thesis,"Interventions in enhancing the english language writing skills of Fourth Year High School Special Science Class students S.Y. 2009-2010 of Urdaneta City National High School","Baltazar, Gemma Marie Corpuz",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58882,UBULB0068601,Thesis,"Photographer Tommy Hafalla and his documentation of Cordillera life ways : a study for a book","Fernandez, Elizabeth Jane Lolarga",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58883,UBULB0068600,Thesis,"The fragmented Filipino identity in Jessica T. Hagedorn's Dogeaters","Hernandez, Gerda Isabellie S.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58884,UBULB00686599,Thesis,"Tuklas : giving identity to the Province of Nueva Vizcaya through the design of promotional materials","Padre, Andrea Faith C.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58920,UBULB0068655,Thesis,"Tinderella : isang diskursong pagsusuri sa representasyon ng masang Pinay","Busaing, Aryan Joy T.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-54036,UBULB0049235,Thesis,"Shiyay ak mango : a semantic study on the Ibaloi expression mango","Bagawi, Janice Compala",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58978,UBULB0068752,Thesis,"Machiavellianism, self-esteem and political tolerance of Congressional staffers of the House of Representatives","Deloso, Rabbi E.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58977,UBULB0068751,Thesis,"Roel's tocino making a family tradition : an effective packaging and marketing strategy of Roel's tocino royal in Angeles City Pampanga","Estrellado, Madonna T.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58976,UBULB0068750,Thesis,"The self-esteem, alienation, and political tolerance towards homosexuals of doctors and medical interns from St. Luke's Medical Center","Ruste, Barbara Christine A.",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58975,UBULB0068749,Thesis,"Measuring the levels of self esteem and authoritarianism of Philippine National Police Academy Cadets and their political tolerance towards homosexuals","Arriesgado, Ronald Steven A.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-58928,UBULB0068603,Thesis,"Mga salitang balbal sa musika ng bandang Pinoy : isang morpolohikal na pagsusuri","Esteron, Israel Juan",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-54041,UBULB0048077,Thesis,"I do : a marriage-less commitment : her[his] stories on 10 select single professional women in Baguio City","Abrera, Jason S.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59047,UBULB0069034,Thesis,"Forest cover vis-a-vis land-use development program of Camp John Hay","Manto, Mercedes Shakti C.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59046,UBULB0069033,Thesis,"Love outside the closet : a case study on some forms of male homosexual relationships among male homosexual students of the University of the Philippines-Baguio","Evangelista, John Andrew Gatchalian",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59045,UBULB0067132,Thesis,"Each other's other : exploring prejudice, against Christians and Muslims in Baguio City","Dagulo, Arnel L.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59044,UBULB0069031,Thesis,"A Cost benefit analysis of business establishments present in Panagbenga Festival's market encounter and Session Road in Bloom in the year 2010","Lauraya, Jedidiah Martin M.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59043,UBULB0069030,Thesis,"Redressing offenses involving property in Barangay Tadiangan, Tuba, Benguet","Arquiza, Christiecelia R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59042,UBULB0069029,Thesis,"The changing local politics of the province of Isabela","Blanza, Marc Reagan Hop",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-69067,UBULB0067375,"Seminar paper","A study on the privatization of healthcare service in the Philippines : the case of private sector mobilization for family health (PRISM) as implemented in the province of Pangasinan","Marquez, Leah Lina C. Orpilla",0,0,,,2009,"Thesis - Room Use Only",Thesis,"In Process",,"Main Library",0
BC-59140,UBULB0069037,Thesis,"A descriptive study of the shared knowledge and healing practices in relation to goiter of the community members in Barangay San Miguel, Natividad, Pangasinan","Baliton, Andrea Lou B.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59177,UBULB0069104,Thesis,"Mutual help : an evaluative study on the leadership practices of Innabuyog-Gabriela Baguio","Abigan, Elisah Payumo",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59178,UBULB0069105,Thesis,"What do people know? : a content analysis on the Philippine Daily Inquirer articles about Japan-Philippines Economic Partnership Agreement in 2008","Ariola, Diana Jen M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59179,UBULB0069106,Thesis,"The changing courtship and marriage practices among the Ibaloi of Kayapa, Nueva Vizcaya","Grabador, Rachel Ann P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59180,UBULB0069107,Thesis,"Resilience factors among disaster survivors : the experiences of seven household heads of Sitio Little Kibungan, La Trinidad, Benguet during and after typhoon Pepeng","Martin, Jonalyn C.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59181,UBULB0069108,Thesis,"Plurking : patterns of communication in microblogging","Marzoña, Alyssa Monica P.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59182,UBULB0069109,Thesis,"Marketing strategies used by local clothing and accessory stores in response to the establishment of SM Department store in Baguio City","Vistal, Reuel John G.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-53520,UBULB0059981,Thesis,"A case study of Bayan Muna's political mobilization and participation on issues concerning President Arroyo's administration","Sales, Mariphil",0,0,,,2006,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-54072,UBULB0046994,Thesis,"The makings of a legal smut tabloid : an investigative study tracing the routes of publication and circulation of smut tabloids in the country","Sanidad, Maria Fernadette Michelle P.",0,0,,,2007,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
Bc-59424,UBULB0069435,Thesis,"Zea Mays root tropism due to nutrient concentration gradient generated by electrophoresis in hydroponic media","Ignacio, John Carlos Inductivo",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59423,UBULB0069433,Thesis,"Anti-inflammatory activity of hypoestes phyllostachya 'Rosea' p. Beau. [Acanthaceae]","Amoncio, Rowena Ann A.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59422,UBULB0069434,Thesis,"Antioxidant activities of vaccinium reticulatum in vitro and antidesma bunius in vitro and in vivo","Jamorabon, John Ellison",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59410,UBULB0069422,Thesis,"Radyo Sagada : concept, perception of the people, and challenges : a video documentary","Diaz, Joanna P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59421,UBULB0069423,Thesis,"Usapang lasing : a descriptive study on the effects of social drinking to the interpersonal relationships of women in UP Baguio","Gopez, Eliz Mae Izabelle",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59420,UBULB0069424,Thesis,"Dialogue on the root causes of early marriage in Kapangan, Benguet","Aguana, Xandra Estrel C.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59419,UBULB0069425,Thesis,"Redefining Filipina online : the role of blogs in presenting alternative Filipina images","Balares, Her Lynn F.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59418,UBULB0069426,Thesis,"The use of language to establish identification and persuasion in the first and last state of the nation addresses of President Gloria Macapagal-Arroyo","Bravo, Titus M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59417,UBULB0069427,Thesis,"The framing of climate change effects : a comparative analysis of Philippine broadsheets' coverage of climate change news stories from January 2009 to June 2010","Bautista, Eugenice Ivy Gwynn U.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59416,UBULB0069428,Thesis,"Bolder coverage uncovered : a critical analysis of the Philippine Daily Inquirer, Manila Bulletin and Philippine Star's coverage of the Maguindanao Massacre from November 24, 2009 to January 24, 2010","Agorilla, Dhonalyn.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59415,UBULB0069436,Thesis,"The self-concept of UP Baguio freshmen students","Muñoz, Regine Iris Marquez",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59414,UBULB0069429,Thesis,"Relationship builder : the effectiveness of computer-mediated communication on the interpersonal relationships created by gays in Baguio City","Dumlao, Roni Charmaine D.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59413,UBULB0069430,Thesis,"Emergent meanings of Hapao Ifugaos regarding the use of media as a means of cultural preservation","Correa, Charlie A.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59412,UBULB0069431,Thesis,"Archetypal analysis of Cordillera flood myths","Alonzo, Emmanuel I.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59411,UBULB0069432,Thesis,"Perception of salespersons towards their customers as affected by clothing impact","Aguilar, Sheila Mae J.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59469,UBULB0069268,Thesis,"A descriptive analysis of the interference","Papango, Michelle Grace A.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48932,UBULB0051866,Thesis,"The role of social facilitation in the prosocial behavior of adolescents","Zarsadias, Tamara May P.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12407,UBULB0057511,Thesis,"The role of social facilitation in the prosocial behavior of adolescents","Zarsadias, Tamara May P.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12408,UBULB0049224,Thesis,"The role of social facilitation in the prosocial behavior of adolescents","Zarsadias, Tamara May P.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-14305,UBULB0076197,Thesis,"The world view of six-year-olds through their linguistic play of words and an introduction and concept of school : a case study","Montalban, Ruth Gisela R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59468,UBULB0069269,Thesis,"Bahay-bahayan : the case and face of three young couples engaged in cohabitation","Punzalan, Junishtar C.",0,0,,,2010,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59467,UBULB0069270,Thesis,"Forestry in Cordillera : assessment of socio-economic aspect of forestry in the Cordillera Administrative Region","Evangelista, Jerick James R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59466,UBULB0069271,Thesis,"Factors affecting the decision making process of students in university settings","Dumaguing, Christian Lorenzo R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59465,UBULB0069437,Thesis,"Determinants of foreign direct investment in the Philippines (1976-2008)","Dacanay, Kryzl Joy L.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59464,UBULB0069438,Thesis,"A study on work-family conflict among workers in Baguio City","Cayanan, Lin C.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59463,UBULB0069439,Thesis,"The rise of Kankana-eys in Baguio City local politics","Castillo, Dianne C.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-59462,UBULB0069440,Thesis,"Indicators of investment climate and regional investment levels","Burguillos, Je-Al S.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
